Region,Year,Month,Day,Thermal Generation Actual (in MU),Hydro Generation Actual (in MU)
Northern,2017,9,20,624.13,273.27
Western,2017,9,20,1131.56,72.0
Southern,2017,9,20,584.76,111.57
Eastern,2017,9,20,486.07,85.94
NorthEastern,2017,9,20,29.11,24.64
Northern,2017,9,21,624.13,273.27
Western,2017,9,21,1131.56,72.0
Southern,2017,9,21,596.96,111.57
Eastern,2017,9,21,486.07,85.94
NorthEastern,2017,9,21,29.11,24.64
Northern,2017,9,22,222.44,68.81
Western,2017,9,22,419.55,44.54
Southern,2017,9,22,270.69,0.0
Eastern,2017,9,22,147.51,3.37
NorthEastern,2017,9,22,12.34,0.0
Northern,2017,9,23,624.13,273.27
Western,2017,9,23,1135.69,72.0
Southern,2017,9,23,587.32,111.57
Eastern,2017,9,23,486.07,85.94
NorthEastern,2017,9,23,29.11,24.64
Northern,2017,9,24,624.13,273.27
Western,2017,9,24,1140.12,72.0
Southern,2017,9,24,587.32,111.57
Eastern,2017,9,24,486.07,85.94
NorthEastern,2017,9,24,29.11,24.64
Northern,2017,9,25,624.13,273.27
Western,2017,9,25,1140.12,72.0
Southern,2017,9,25,591.15,111.57
Eastern,2017,9,25,486.07,85.94
NorthEastern,2017,9,25,29.11,24.64
Northern,2017,9,26,626.73,273.27
Western,2017,9,26,1140.12,72.0
Southern,2017,9,26,591.15,111.57
Eastern,2017,9,26,486.07,85.94
NorthEastern,2017,9,26,29.11,24.64
Northern,2017,9,27,626.73,273.27
Western,2017,9,27,1140.12,72.0
Southern,2017,9,27,591.15,111.57
Eastern,2017,9,27,486.07,85.94
NorthEastern,2017,9,27,29.11,24.64
Northern,2017,9,28,630.62,273.27
Western,2017,9,28,1140.12,72.0
Southern,2017,9,28,591.15,111.57
Eastern,2017,9,28,486.07,85.94
NorthEastern,2017,9,28,29.11,24.64
Northern,2017,9,29,630.62,273.27
Western,2017,9,29,1140.12,72.0
Southern,2017,9,29,601.66,111.57
Eastern,2017,9,29,486.07,85.94
NorthEastern,2017,9,29,29.11,24.64
Northern,2017,9,30,630.62,273.27
Western,2017,9,30,1140.12,72.0
Southern,2017,9,30,601.66,111.57
Eastern,2017,9,30,486.07,85.94
NorthEastern,2017,9,30,29.11,24.64
Northern,2017,10,1,621.75,157.46
Western,2017,10,1,1155.3,57.11
Southern,2017,10,1,575.7,92.06
Eastern,2017,10,1,479.5,63.36
NorthEastern,2017,10,1,29.16,17.17
Northern,2017,10,3,621.75,157.46
Western,2017,10,3,1155.3,57.11
Southern,2017,10,3,575.7,92.06
Eastern,2017,10,3,479.5,63.36
NorthEastern,2017,10,3,29.16,17.17
Northern,2017,10,4,621.75,157.46
Western,2017,10,4,1155.3,57.11
Southern,2017,10,4,575.7,92.06
Eastern,2017,10,4,479.5,63.36
NorthEastern,2017,10,4,29.16,17.17
Northern,2017,10,5,621.75,157.46
Western,2017,10,5,1150.82,57.11
Southern,2017,10,5,575.7,92.06
Eastern,2017,10,5,479.5,63.36
NorthEastern,2017,10,5,29.16,17.17
Northern,2017,10,6,621.75,157.46
Western,2017,10,6,1150.82,57.11
Southern,2017,10,6,581.31,92.06
Eastern,2017,10,6,479.5,63.36
NorthEastern,2017,10,6,29.16,17.17
Northern,2017,10,7,621.75,157.46
Western,2017,10,7,1150.82,57.11
Southern,2017,10,7,581.31,92.06
Eastern,2017,10,7,479.5,63.36
NorthEastern,2017,10,7,29.16,17.17
Northern,2017,10,8,621.75,157.46
Western,2017,10,8,1150.82,57.11
Southern,2017,10,8,590.19,92.06
Eastern,2017,10,8,479.5,63.36
NorthEastern,2017,10,8,29.16,17.17
Northern,2017,10,9,621.75,157.46
Western,2017,10,9,1155.3,57.11
Southern,2017,10,9,590.19,92.06
Eastern,2017,10,9,479.5,63.36
NorthEastern,2017,10,9,29.16,17.17
Northern,2017,10,10,621.75,157.46
Western,2017,10,10,1155.3,57.11
Southern,2017,10,10,590.19,92.06
Eastern,2017,10,10,479.5,63.36
NorthEastern,2017,10,10,29.16,17.17
Northern,2017,10,11,621.75,157.46
Western,2017,10,11,1155.3,57.11
Southern,2017,10,11,598.81,92.06
Eastern,2017,10,11,486.88,63.36
NorthEastern,2017,10,11,29.16,17.17
Northern,2017,10,12,621.75,157.46
Western,2017,10,12,1155.3,57.11
Southern,2017,10,12,598.81,92.06
Eastern,2017,10,12,486.88,63.36
NorthEastern,2017,10,12,29.16,17.17
Northern,2017,10,13,621.75,157.46
Western,2017,10,13,1155.3,57.11
Southern,2017,10,13,598.81,92.06
Eastern,2017,10,13,486.88,63.36
NorthEastern,2017,10,13,29.16,17.17
Northern,2017,10,14,618.71,157.46
Western,2017,10,14,1155.3,57.11
Southern,2017,10,14,598.81,92.06
Eastern,2017,10,14,486.88,63.36
NorthEastern,2017,10,14,29.16,17.17
Northern,2017,10,15,633.77,157.46
Western,2017,10,15,1155.3,57.11
Southern,2017,10,15,594.31,92.06
Eastern,2017,10,15,486.88,63.36
NorthEastern,2017,10,15,29.16,17.17
Northern,2017,10,16,626.17,157.46
Western,2017,10,16,1155.3,57.11
Southern,2017,10,16,602.87,92.06
Eastern,2017,10,16,486.88,63.36
NorthEastern,2017,10,16,29.16,17.17
Northern,2017,10,17,629.21,157.46
Western,2017,10,17,1155.3,57.11
Southern,2017,10,17,602.87,92.06
Eastern,2017,10,17,486.88,63.36
NorthEastern,2017,10,17,29.16,17.17
Northern,2017,10,18,629.21,157.46
Western,2017,10,18,1155.3,57.11
Southern,2017,10,18,589.87,92.06
Eastern,2017,10,18,486.88,63.36
NorthEastern,2017,10,18,29.16,17.17
Northern,2017,10,19,639.52,157.46
Western,2017,10,19,1153.02,57.11
Southern,2017,10,19,594.32,92.06
Eastern,2017,10,19,486.88,63.36
NorthEastern,2017,10,19,29.16,17.17
Northern,2017,10,20,628.36,157.46
Western,2017,10,20,1128.44,57.11
Southern,2017,10,20,594.32,92.06
Eastern,2017,10,20,484.8,63.36
NorthEastern,2017,10,20,29.16,17.17
Northern,2017,10,21,628.36,157.46
Western,2017,10,21,1128.44,57.11
Southern,2017,10,21,594.32,92.06
Eastern,2017,10,21,473.75,63.36
NorthEastern,2017,10,21,29.16,17.17
Northern,2017,10,22,628.36,157.46
Western,2017,10,22,1128.44,57.11
Southern,2017,10,22,594.32,92.06
Eastern,2017,10,22,469.18,63.36
NorthEastern,2017,10,22,29.16,17.17
Northern,2017,10,23,628.36,157.46
Western,2017,10,23,1128.44,57.11
Southern,2017,10,23,603.99,92.06
Eastern,2017,10,23,467.82,63.36
NorthEastern,2017,10,23,29.16,17.17
Northern,2017,10,24,625.88,157.46
Western,2017,10,24,1128.44,57.11
Southern,2017,10,24,603.99,92.06
Eastern,2017,10,24,467.82,63.36
NorthEastern,2017,10,24,29.16,17.17
Northern,2017,10,25,625.88,157.46
Western,2017,10,25,1127.02,57.11
Southern,2017,10,25,615.28,92.06
Eastern,2017,10,25,467.82,63.36
NorthEastern,2017,10,25,29.16,17.17
Northern,2017,10,26,625.88,157.46
Western,2017,10,26,1127.02,57.11
Southern,2017,10,26,615.28,92.06
Eastern,2017,10,26,467.82,63.36
NorthEastern,2017,10,26,29.16,17.17
Northern,2017,10,27,625.88,157.46
Western,2017,10,27,1127.02,57.11
Southern,2017,10,27,615.28,92.06
Eastern,2017,10,27,469.9,63.36
NorthEastern,2017,10,27,29.16,17.17
Northern,2017,10,28,614.95,157.46
Western,2017,10,28,1127.02,57.11
Southern,2017,10,28,615.28,92.06
Eastern,2017,10,28,469.9,63.36
NorthEastern,2017,10,28,29.16,17.17
Northern,2017,10,29,614.95,157.46
Western,2017,10,29,1127.02,57.11
Southern,2017,10,29,615.28,92.06
Eastern,2017,10,29,469.9,63.36
NorthEastern,2017,10,29,29.16,17.17
Northern,2017,10,30,614.95,157.46
Western,2017,10,30,1127.02,57.11
Southern,2017,10,30,615.28,92.06
Eastern,2017,10,30,469.9,63.36
NorthEastern,2017,10,30,29.16,17.17
Northern,2017,10,31,614.95,157.46
Western,2017,10,31,1127.02,57.11
Southern,2017,10,31,622.28,92.06
Eastern,2017,10,31,469.9,63.36
NorthEastern,2017,10,31,29.16,17.17
Northern,2017,11,1,596.89,117.5
Western,2017,11,1,1100.43,45.87
Southern,2017,11,1,594.88,72.56
Eastern,2017,11,1,451.11,36.75
NorthEastern,2017,11,1,29.11,12.92
Northern,2017,11,2,596.89,117.5
Western,2017,11,2,1100.43,45.87
Southern,2017,11,2,594.88,72.56
Eastern,2017,11,2,451.11,36.75
NorthEastern,2017,11,2,29.11,12.92
Northern,2017,11,3,596.89,117.5
Western,2017,11,3,1101.82,45.87
Southern,2017,11,3,594.88,72.56
Eastern,2017,11,3,451.11,36.75
NorthEastern,2017,11,3,29.11,12.92
Northern,2017,11,4,596.89,117.5
Western,2017,11,4,1101.82,45.87
Southern,2017,11,4,594.88,72.56
Eastern,2017,11,4,451.11,36.75
NorthEastern,2017,11,4,29.11,12.92
Northern,2017,11,5,596.89,117.5
Western,2017,11,5,1099.82,45.87
Southern,2017,11,5,599.07,72.56
Eastern,2017,11,5,451.11,36.75
NorthEastern,2017,11,5,29.11,12.92
Northern,2017,11,6,596.89,117.5
Western,2017,11,6,1099.82,45.87
Southern,2017,11,6,599.07,72.56
Eastern,2017,11,6,451.11,36.75
NorthEastern,2017,11,6,29.11,12.92
Northern,2017,11,7,596.89,117.5
Western,2017,11,7,1099.82,45.87
Southern,2017,11,7,599.07,72.56
Eastern,2017,11,7,454.86,36.75
NorthEastern,2017,11,7,29.11,12.92
Northern,2017,11,8,596.89,117.5
Western,2017,11,8,1099.82,45.87
Southern,2017,11,8,608.86,72.56
Eastern,2017,11,8,454.86,36.75
NorthEastern,2017,11,8,29.11,12.92
Northern,2017,11,9,599.39,117.5
Western,2017,11,9,1099.82,45.87
Southern,2017,11,9,608.86,72.56
Eastern,2017,11,9,454.86,36.75
NorthEastern,2017,11,9,29.11,12.92
Northern,2017,11,10,596.06,117.5
Western,2017,11,10,1099.82,45.87
Southern,2017,11,10,607.08,72.56
Eastern,2017,11,10,454.86,36.75
NorthEastern,2017,11,10,29.11,12.92
Northern,2017,11,11,596.06,117.5
Western,2017,11,11,1099.82,45.87
Southern,2017,11,11,607.08,72.56
Eastern,2017,11,11,454.86,36.75
NorthEastern,2017,11,11,29.11,12.92
Northern,2017,11,12,593.56,117.5
Western,2017,11,12,1099.82,45.87
Southern,2017,11,12,607.08,72.56
Eastern,2017,11,12,454.86,36.75
NorthEastern,2017,11,12,29.11,12.92
Northern,2017,11,13,582.56,117.5
Western,2017,11,13,1099.82,45.87
Southern,2017,11,13,607.08,72.56
Eastern,2017,11,13,454.86,36.75
NorthEastern,2017,11,13,29.11,12.92
Northern,2017,11,14,579.64,117.5
Western,2017,11,14,1099.82,45.87
Southern,2017,11,14,611.55,72.56
Eastern,2017,11,14,454.86,36.75
NorthEastern,2017,11,14,29.11,12.92
Northern,2017,11,15,568.0,117.5
Western,2017,11,15,1098.68,45.87
Southern,2017,11,15,611.55,72.56
Eastern,2017,11,15,475.92,36.75
NorthEastern,2017,11,15,29.11,12.92
Northern,2017,11,16,574.07,117.5
Western,2017,11,16,1098.68,45.87
Southern,2017,11,16,609.54,72.56
Eastern,2017,11,16,479.32,36.75
NorthEastern,2017,11,16,29.11,12.92
Northern,2017,11,17,574.07,117.5
Western,2017,11,17,1093.3,45.87
Southern,2017,11,17,609.54,72.56
Eastern,2017,11,17,479.32,36.75
NorthEastern,2017,11,17,29.11,12.92
Northern,2017,11,18,574.07,117.5
Western,2017,11,18,1095.61,45.87
Southern,2017,11,18,609.54,72.56
Eastern,2017,11,18,474.02,36.75
NorthEastern,2017,11,18,29.11,12.92
Northern,2017,11,19,574.07,117.5
Western,2017,11,19,1133.28,45.87
Southern,2017,11,19,609.54,72.56
Eastern,2017,11,19,474.02,36.75
NorthEastern,2017,11,19,29.11,12.92
Northern,2017,11,20,584.12,117.5
Western,2017,11,20,1100.91,45.87
Southern,2017,11,20,598.75,72.56
Eastern,2017,11,20,474.02,36.75
NorthEastern,2017,11,20,29.11,12.92
Northern,2017,11,21,584.12,117.5
Western,2017,11,21,1100.91,45.87
Southern,2017,11,21,598.75,72.56
Eastern,2017,11,21,473.52,36.75
NorthEastern,2017,11,21,29.11,12.92
Northern,2017,11,22,581.44,117.5
Western,2017,11,22,1100.91,45.87
Southern,2017,11,22,598.75,72.56
Eastern,2017,11,22,466.65,36.75
NorthEastern,2017,11,22,29.11,12.92
Northern,2017,11,23,599.94,117.5
Western,2017,11,23,1100.91,45.87
Southern,2017,11,23,598.75,72.56
Eastern,2017,11,23,466.65,36.75
NorthEastern,2017,11,23,29.11,12.92
Northern,2017,11,24,599.94,117.5
Western,2017,11,24,1100.91,45.87
Southern,2017,11,24,598.75,72.56
Eastern,2017,11,24,466.65,36.75
NorthEastern,2017,11,24,29.11,12.92
Northern,2017,11,25,599.29,117.5
Western,2017,11,25,1100.91,45.87
Southern,2017,11,25,598.75,72.56
Eastern,2017,11,25,471.95,36.75
NorthEastern,2017,11,25,29.11,12.92
Northern,2017,11,26,601.84,117.5
Western,2017,11,26,1095.47,45.87
Southern,2017,11,26,598.75,72.56
Eastern,2017,11,26,477.75,36.75
NorthEastern,2017,11,26,29.11,12.92
Northern,2017,11,27,612.19,117.5
Western,2017,11,27,1103.72,45.87
Southern,2017,11,27,594.56,72.56
Eastern,2017,11,27,482.25,36.75
NorthEastern,2017,11,27,29.11,12.92
Northern,2017,11,28,614.85,117.5
Western,2017,11,28,1103.72,45.87
Southern,2017,11,28,594.56,72.56
Eastern,2017,11,28,482.25,36.75
NorthEastern,2017,11,28,29.11,12.92
Northern,2017,11,29,615.5,117.5
Western,2017,11,29,1103.72,45.87
Southern,2017,11,29,594.56,72.56
Eastern,2017,11,29,482.25,36.75
NorthEastern,2017,11,29,29.11,12.92
Northern,2017,11,30,618.83,117.5
Western,2017,11,30,1103.72,45.87
Southern,2017,11,30,594.56,72.56
Eastern,2017,11,30,482.25,36.75
NorthEastern,2017,11,30,29.11,12.92
Northern,2017,12,1,607.52,105.23
Western,2017,12,1,1056.13,42.27
Southern,2017,12,1,595.72,69.72
Eastern,2017,12,1,472.6,22.6
NorthEastern,2017,12,1,29.14,12.11
Northern,2017,12,2,607.5,105.23
Western,2017,12,2,1067.74,42.27
Southern,2017,12,2,605.43,69.72
Eastern,2017,12,2,472.6,22.6
NorthEastern,2017,12,2,29.14,12.11
Northern,2017,12,3,607.5,105.23
Western,2017,12,3,1067.74,42.27
Southern,2017,12,3,609.5,69.72
Eastern,2017,12,3,470.05,22.6
NorthEastern,2017,12,3,29.14,12.11
Northern,2017,12,4,620.86,105.23
Western,2017,12,4,1067.74,42.27
Southern,2017,12,4,609.5,69.72
Eastern,2017,12,4,470.05,22.6
NorthEastern,2017,12,4,29.14,12.11
Northern,2017,12,5,620.86,105.23
Western,2017,12,5,1069.81,42.27
Southern,2017,12,5,597.93,69.72
Eastern,2017,12,5,470.05,22.6
NorthEastern,2017,12,5,29.14,12.11
Northern,2017,12,6,633.15,105.23
Western,2017,12,6,1070.96,42.27
Southern,2017,12,6,599.39,69.72
Eastern,2017,12,6,474.7,22.6
NorthEastern,2017,12,6,29.14,12.11
Northern,2017,12,7,633.15,105.23
Western,2017,12,7,1070.96,42.27
Southern,2017,12,7,599.39,69.72
Eastern,2017,12,7,474.7,22.6
NorthEastern,2017,12,7,29.14,12.11
Northern,2017,12,8,633.15,105.23
Western,2017,12,8,1070.96,42.27
Southern,2017,12,8,599.39,69.72
Eastern,2017,12,8,474.7,22.6
NorthEastern,2017,12,8,29.14,12.11
Northern,2017,12,9,633.15,105.23
Western,2017,12,9,1070.96,42.27
Southern,2017,12,9,594.99,69.72
Eastern,2017,12,9,474.7,22.6
NorthEastern,2017,12,9,29.14,12.11
Northern,2017,12,10,623.9,105.23
Western,2017,12,10,1073.05,42.27
Southern,2017,12,10,594.99,69.72
Eastern,2017,12,10,474.7,22.6
NorthEastern,2017,12,10,29.14,12.11
Northern,2017,12,11,623.9,105.23
Western,2017,12,11,1073.05,42.27
Southern,2017,12,11,599.23,69.72
Eastern,2017,12,11,474.7,22.6
NorthEastern,2017,12,11,29.14,12.11
Northern,2017,12,12,623.9,105.23
Western,2017,12,12,1070.76,42.27
Southern,2017,12,12,598.32,69.72
Eastern,2017,12,12,469.41,22.6
NorthEastern,2017,12,12,29.14,12.11
Northern,2017,12,13,634.95,105.23
Western,2017,12,13,1070.76,42.27
Southern,2017,12,13,598.32,69.72
Eastern,2017,12,13,469.41,22.6
NorthEastern,2017,12,13,29.14,12.11
Northern,2017,12,14,636.29,105.23
Western,2017,12,14,1079.98,42.27
Southern,2017,12,14,598.32,69.72
Eastern,2017,12,14,469.41,22.6
NorthEastern,2017,12,14,29.14,12.11
Northern,2017,12,15,624.65,105.23
Western,2017,12,15,1079.98,42.27
Southern,2017,12,15,598.32,69.72
Eastern,2017,12,15,465.98,22.6
NorthEastern,2017,12,15,29.14,12.11
Northern,2017,12,16,625.32,105.23
Western,2017,12,16,1079.98,42.27
Southern,2017,12,16,614.83,69.72
Eastern,2017,12,16,465.98,22.6
NorthEastern,2017,12,16,29.14,12.11
Northern,2017,12,17,625.32,105.23
Western,2017,12,17,1079.98,42.27
Southern,2017,12,17,614.83,69.72
Eastern,2017,12,17,461.9,22.6
NorthEastern,2017,12,17,29.14,12.11
Northern,2017,12,18,625.32,105.23
Western,2017,12,18,1079.98,42.27
Southern,2017,12,18,615.76,69.72
Eastern,2017,12,18,464.4,22.6
NorthEastern,2017,12,18,29.14,12.11
Northern,2017,12,19,625.32,105.23
Western,2017,12,19,1079.98,42.27
Southern,2017,12,19,615.76,69.72
Eastern,2017,12,19,464.19,22.6
NorthEastern,2017,12,19,29.14,12.11
Northern,2017,12,20,625.32,105.23
Western,2017,12,20,1074.69,42.27
Southern,2017,12,20,623.26,69.72
Eastern,2017,12,20,464.19,22.6
NorthEastern,2017,12,20,29.14,12.11
Northern,2017,12,21,625.32,105.23
Western,2017,12,21,1080.14,42.27
Southern,2017,12,21,627.22,69.72
Eastern,2017,12,21,464.19,22.6
NorthEastern,2017,12,21,29.14,12.11
Northern,2017,12,22,627.92,105.23
Western,2017,12,22,1082.43,42.27
Southern,2017,12,22,627.22,69.72
Eastern,2017,12,22,464.19,22.6
NorthEastern,2017,12,22,29.14,12.11
Northern,2017,12,23,627.92,105.23
Western,2017,12,23,1082.43,42.27
Southern,2017,12,23,627.22,69.72
Eastern,2017,12,23,466.74,22.6
NorthEastern,2017,12,23,29.14,12.11
Northern,2017,12,24,627.92,105.23
Western,2017,12,24,1082.43,42.27
Southern,2017,12,24,627.22,69.72
Eastern,2017,12,24,462.04,22.6
NorthEastern,2017,12,24,29.14,12.11
Northern,2017,12,25,627.92,105.23
Western,2017,12,25,1082.43,42.27
Southern,2017,12,25,627.22,69.72
Eastern,2017,12,25,462.04,22.6
NorthEastern,2017,12,25,29.14,12.11
Northern,2017,12,26,630.59,105.23
Western,2017,12,26,1095.43,42.27
Southern,2017,12,26,627.22,69.72
Eastern,2017,12,26,471.71,22.6
NorthEastern,2017,12,26,29.14,12.11
Northern,2017,12,27,628.09,105.23
Western,2017,12,27,1108.92,42.27
Southern,2017,12,27,627.22,69.72
Eastern,2017,12,27,471.71,22.6
NorthEastern,2017,12,27,29.14,12.11
Northern,2017,12,28,630.77,105.23
Western,2017,12,28,1114.67,42.27
Southern,2017,12,28,627.22,69.72
Eastern,2017,12,28,471.71,22.6
NorthEastern,2017,12,28,29.14,12.11
Northern,2017,12,29,630.77,105.23
Western,2017,12,29,1114.67,42.27
Southern,2017,12,29,627.22,69.72
Eastern,2017,12,29,471.71,22.6
NorthEastern,2017,12,29,29.14,12.11
Northern,2017,12,30,630.77,105.23
Western,2017,12,30,1114.67,42.27
Southern,2017,12,30,631.62,69.72
Eastern,2017,12,30,471.71,22.6
NorthEastern,2017,12,30,29.14,12.11
Northern,2017,12,31,633.37,105.23
Western,2017,12,31,1114.67,42.27
Southern,2017,12,31,631.62,69.72
Eastern,2017,12,31,474.71,22.6
NorthEastern,2017,12,31,29.14,12.11
Northern,2018,1,1,626.6,96.18
Western,2018,1,1,1127.88,41.22
Southern,2018,1,1,638.77,70.04
Eastern,2018,1,1,478.58,21.76
NorthEastern,2018,1,1,31.88,11.28
Northern,2018,1,2,624.0,96.18
Western,2018,1,2,1127.88,41.22
Southern,2018,1,2,635.44,70.04
Eastern,2018,1,2,476.31,21.76
NorthEastern,2018,1,2,31.88,11.28
Northern,2018,1,3,624.0,96.18
Western,2018,1,3,1127.88,41.22
Southern,2018,1,3,635.44,70.04
Eastern,2018,1,3,476.31,21.76
NorthEastern,2018,1,3,31.88,11.28
Northern,2018,1,4,626.5,96.18
Western,2018,1,4,1127.88,41.22
Southern,2018,1,4,635.44,70.04
Eastern,2018,1,4,476.31,21.76
NorthEastern,2018,1,4,31.88,11.28
Northern,2018,1,5,629.13,96.18
Western,2018,1,5,1127.88,41.22
Southern,2018,1,5,635.44,70.04
Eastern,2018,1,5,476.31,21.76
NorthEastern,2018,1,5,31.88,11.28
Northern,2018,1,6,629.13,96.18
Western,2018,1,6,1117.67,41.22
Southern,2018,1,6,636.9,70.04
Eastern,2018,1,6,480.54,21.76
NorthEastern,2018,1,6,31.88,11.28
Northern,2018,1,7,629.13,96.18
Western,2018,1,7,1114.84,41.22
Southern,2018,1,7,636.9,70.04
Eastern,2018,1,7,480.54,21.76
NorthEastern,2018,1,7,31.88,11.28
Northern,2018,1,8,626.22,96.18
Western,2018,1,8,1114.84,41.22
Southern,2018,1,8,636.9,70.04
Eastern,2018,1,8,480.54,21.76
NorthEastern,2018,1,8,31.88,11.28
Northern,2018,1,9,626.22,96.18
Western,2018,1,9,1114.84,41.22
Southern,2018,1,9,640.68,70.04
Eastern,2018,1,9,494.84,21.76
NorthEastern,2018,1,9,31.88,11.28
Northern,2018,1,10,626.22,96.18
Western,2018,1,10,1109.51,41.22
Southern,2018,1,10,636.85,70.04
Eastern,2018,1,10,494.84,21.76
NorthEastern,2018,1,10,31.88,11.28
Northern,2018,1,11,626.22,96.18
Western,2018,1,11,1115.41,41.22
Southern,2018,1,11,636.85,70.04
Eastern,2018,1,11,494.4,21.76
NorthEastern,2018,1,11,31.88,11.28
Northern,2018,1,12,626.22,96.18
Western,2018,1,12,1115.41,41.22
Southern,2018,1,12,636.85,70.04
Eastern,2018,1,12,494.4,21.76
NorthEastern,2018,1,12,31.88,11.28
Northern,2018,1,13,626.22,96.18
Western,2018,1,13,1125.62,41.22
Southern,2018,1,13,636.85,70.04
Eastern,2018,1,13,494.4,21.76
NorthEastern,2018,1,13,31.88,11.28
Northern,2018,1,14,626.22,96.18
Western,2018,1,14,1125.62,41.22
Southern,2018,1,14,636.85,70.04
Eastern,2018,1,14,494.4,21.76
NorthEastern,2018,1,14,31.88,11.28
Northern,2018,1,15,626.22,96.18
Western,2018,1,15,1125.62,41.22
Southern,2018,1,15,636.85,70.04
Eastern,2018,1,15,494.84,21.76
NorthEastern,2018,1,15,31.88,11.28
Northern,2018,1,16,623.55,96.18
Western,2018,1,16,1125.62,41.22
Southern,2018,1,16,636.85,70.04
Eastern,2018,1,16,494.84,21.76
NorthEastern,2018,1,16,31.88,11.28
Northern,2018,1,17,623.55,96.18
Western,2018,1,17,1125.62,41.22
Southern,2018,1,17,636.85,70.04
Eastern,2018,1,17,484.15,21.76
NorthEastern,2018,1,17,31.88,11.28
Northern,2018,1,18,623.55,96.18
Western,2018,1,18,1125.62,41.22
Southern,2018,1,18,636.85,70.04
Eastern,2018,1,18,484.15,21.76
NorthEastern,2018,1,18,31.88,11.28
Northern,2018,1,19,623.55,96.18
Western,2018,1,19,1125.62,41.22
Southern,2018,1,19,636.85,70.04
Eastern,2018,1,19,484.15,21.76
NorthEastern,2018,1,19,31.88,11.28
Northern,2018,1,20,619.13,96.18
Western,2018,1,20,1125.62,41.22
