Region,Year,Month,Day,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
Southern,2017,9,21,596.96,524.50,111.57,95.32
Eastern,2017,9,21,486.07,438.60,85.94,76.02
NorthEastern,2017,9,21,29.11,27.53,24.64,22.08
Northern,2017,9,22,222.44,209.74,68.81,62.09
Western,2017,9,22,419.55,409.17,44.54,3.8
Southern,2017,9,22,270.69,191.91,0.0,0.0
Eastern,2017,9,22,147.51,138.30,3.37,2.65
NorthEastern,2017,9,22,12.34,12.38,0.0,0.0
Northern,2017,9,23,624.13,523.93,273.27,279.9
Western,2017,9,23,"1,135.69","1,146.57",72.0,21.41
Southern,2017,9,23,587.32,578.34,111.57,101.99
Eastern,2017,9,23,486.07,436.38,85.94,73.2
NorthEastern,2017,9,23,29.11,28.05,24.64,21.42
Northern,2017,9,24,624.13,520.12,273.27,292.18
Western,2017,9,24,"1,140.12","1,168.59",72.0,16.95
Southern,2017,9,24,587.32,556.37,111.57,72.42
Eastern,2017,9,24,486.07,437.88,85.94,64.41
NorthEastern,2017,9,24,29.11,29.49,24.64,24.36
Northern,2017,9,25,624.13,571.59,273.27,303.26
Western,2017,9,25,"1,140.12","1,205.39",72.0,23.85
Southern,2017,9,25,591.15,550.65,111.57,77.38
Eastern,2017,9,25,486.07,449.09,85.94,71.43
NorthEastern,2017,9,25,29.11,29.55,24.64,22.31
Northern,2017,9,26,626.73,646.01,273.27,261.67
Western,2017,9,26,"1,140.12","1,237.06",72.0,28.24
Southern,2017,9,26,591.15,535.81,111.57,87.54
Eastern,2017,9,26,486.07,453.26,85.94,72.9
NorthEastern,2017,9,26,29.11,30.02,24.64,21.85
Northern,2017,9,27,626.73,661.69,273.27,254.28
Western,2017,9,27,"1,140.12","1,245.38",72.0,30.32
Southern,2017,9,27,591.15,543.71,111.57,79.2
Eastern,2017,9,27,486.07,445.78,85.94,73.83
NorthEastern,2017,9,27,29.11,30.10,24.64,21.47
Northern,2017,9,28,630.62,668.20,273.27,248.29
Western,2017,9,28,"1,140.12","1,241.16",72.0,26.39
Southern,2017,9,28,591.15,513.01,111.57,82.36
Eastern,2017,9,28,486.07,431.07,85.94,70.97
NorthEastern,2017,9,28,29.11,30.25,24.64,22.83
Northern,2017,9,29,630.62,649.48,273.27,240.09
Western,2017,9,29,"1,140.12","1,203.24",72.0,19.59
Southern,2017,9,29,601.66,485.78,111.57,83.47
Eastern,2017,9,29,486.07,417.12,85.94,71.65
NorthEastern,2017,9,29,29.11,29.71,24.64,25.09
Northern,2017,9,30,630.62,661.15,273.27,236.19
Western,2017,9,30,"1,140.12","1,134.40",72.0,18.41
Southern,2017,9,30,601.66,475.84,111.57,69.71
Eastern,2017,9,30,486.07,403.41,85.94,71.71
NorthEastern,2017,9,30,29.11,29.41,24.64,27.65
Northern,2017,10,1,621.75,650.52,157.46,222.85
Western,2017,10,1,"1,155.30","1,139.73",57.11,14.03
Southern,2017,10,1,575.70,466.38,92.06,49.74
Eastern,2017,10,1,479.50,382.63,63.36,71.06
NorthEastern,2017,10,1,29.16,29.11,17.17,27.48
Northern,2017,10,3,621.75,691.52,157.46,218.56
Western,2017,10,3,"1,155.30","1,215.31",57.11,39.96
Southern,2017,10,3,575.70,523.36,92.06,67.76
Eastern,2017,10,3,479.50,396.40,63.36,76.3
NorthEastern,2017,10,3,29.16,29.33,17.17,25.78
Northern,2017,10,4,621.75,719.34,157.46,216.91
Western,2017,10,4,"1,155.30","1,206.24",57.11,45.92
Southern,2017,10,4,575.70,548.00,92.06,80.9
Eastern,2017,10,4,479.50,387.92,63.36,80.68
NorthEastern,2017,10,4,29.16,30.12,17.17,25.15
Northern,2017,10,5,621.75,741.62,157.46,212.62
Western,2017,10,5,"1,150.82","1,221.59",57.11,33.89
Southern,2017,10,5,575.70,577.17,92.06,74.98
Eastern,2017,10,5,479.50,387.85,63.36,81.2
NorthEastern,2017,10,5,29.16,31.05,17.17,24.35
Northern,2017,10,6,621.75,742.06,157.46,209.7
Western,2017,10,6,"1,150.82","1,212.64",57.11,31.23
Southern,2017,10,6,581.31,569.68,92.06,65.89
Eastern,2017,10,6,479.50,401.48,63.36,77.08
NorthEastern,2017,10,6,29.16,31.36,17.17,23.01
Northern,2017,10,7,621.75,750.10,157.46,208.0
Western,2017,10,7,"1,150.82","1,203.27",57.11,24.51
Southern,2017,10,7,581.31,573.48,92.06,74.06
Eastern,2017,10,7,479.50,402.74,63.36,73.75
NorthEastern,2017,10,7,29.16,30.95,17.17,21.94
Northern,2017,10,8,621.75,728.14,157.46,200.47
Western,2017,10,8,"1,150.82","1,157.01",57.11,16.51
Southern,2017,10,8,590.19,524.03,92.06,71.65
Eastern,2017,10,8,479.50,404.25,63.36,72.49
NorthEastern,2017,10,8,29.16,30.12,17.17,19.52
Northern,2017,10,9,621.75,727.35,157.46,195.33
Western,2017,10,9,"1,155.30","1,160.06",57.11,18.71
Southern,2017,10,9,590.19,550.53,92.06,94.72
Eastern,2017,10,9,479.50,413.99,63.36,66.62
NorthEastern,2017,10,9,29.16,30.21,17.17,20.29
Northern,2017,10,10,621.75,721.26,157.46,191.8
Western,2017,10,10,"1,155.30","1,178.27",57.11,19.31
Southern,2017,10,10,590.19,558.62,92.06,111.74
Eastern,2017,10,10,479.50,419.50,63.36,69.8
NorthEastern,2017,10,10,29.16,30.48,17.17,21.31
Northern,2017,10,11,621.75,714.42,157.46,185.07
Western,2017,10,11,"1,155.30","1,191.84",57.11,19.11
Southern,2017,10,11,598.81,571.50,92.06,102.52
Eastern,2017,10,11,486.88,416.31,63.36,73.77
NorthEastern,2017,10,11,29.16,30.17,17.17,21.88
Northern,2017,10,12,621.75,703.75,157.46,180.93
Western,2017,10,12,"1,155.30","1,219.13",57.11,19.93
Southern,2017,10,12,598.81,574.58,92.06,102.35
Eastern,2017,10,12,486.88,412.28,63.36,76.79
NorthEastern,2017,10,12,29.16,29.92,17.17,19.9
Northern,2017,10,13,621.75,704.49,157.46,177.37
Western,2017,10,13,"1,155.30","1,226.64",57.11,21.27
Southern,2017,10,13,598.81,565.98,92.06,105.72
Eastern,2017,10,13,486.88,400.19,63.36,72.37
NorthEastern,2017,10,13,29.16,29.63,17.17,21.15
Northern,2017,10,14,618.71,684.25,157.46,170.48
Western,2017,10,14,"1,155.30","1,205.16",57.11,19.68
Southern,2017,10,14,598.81,558.71,92.06,95.59
Eastern,2017,10,14,486.88,419.29,63.36,74.79
NorthEastern,2017,10,14,29.16,28.71,17.17,20.9
Northern,2017,10,15,633.77,655.21,157.46,165.81
Western,2017,10,15,"1,155.30","1,180.41",57.11,17.75
Southern,2017,10,15,594.31,478.54,92.06,88.74
Eastern,2017,10,15,486.88,407.83,63.36,76.3
NorthEastern,2017,10,15,29.16,29.87,17.17,23.29
Northern,2017,10,16,626.17,656.71,157.46,161.47
Western,2017,10,16,"1,155.30","1,211.94",57.11,21.39
Southern,2017,10,16,602.87,493.32,92.06,96.55
Eastern,2017,10,16,486.88,413.23,63.36,49.46
NorthEastern,2017,10,16,29.16,30.68,17.17,21.29
Northern,2017,10,17,629.21,684.75,157.46,160.11
Western,2017,10,17,"1,155.30","1,219.80",57.11,18.38
Southern,2017,10,17,602.87,528.90,92.06,98.5
Eastern,2017,10,17,486.88,436.60,63.36,63.63
NorthEastern,2017,10,17,29.16,34.05,17.17,20.2
Northern,2017,10,18,629.21,670.18,157.46,156.53
Western,2017,10,18,"1,155.30","1,189.18",57.11,15.19
Southern,2017,10,18,589.87,510.02,92.06,85.72
Eastern,2017,10,18,486.88,432.78,63.36,59.9
NorthEastern,2017,10,18,29.16,33.71,17.17,20.02
Northern,2017,10,19,639.52,628.37,157.46,157.32
Western,2017,10,19,"1,153.02","1,121.42",57.11,14.78
Southern,2017,10,19,594.32,464.41,92.06,85.16
Eastern,2017,10,19,486.88,421.01,63.36,54.78
NorthEastern,2017,10,19,29.16,31.10,17.17,17.45
Northern,2017,10,20,628.36,588.78,157.46,154.62
Western,2017,10,20,"1,128.44","1,055.67",57.11,11.26
Southern,2017,10,20,594.32,483.91,92.06,90.58
Eastern,2017,10,20,484.80,405.91,63.36,55.7
NorthEastern,2017,10,20,29.16,28.76,17.17,16.83
Northern,2017,10,21,628.36,580.35,157.46,152.29
Western,2017,10,21,"1,128.44","1,056.42",57.11,15.28
Southern,2017,10,21,594.32,525.17,92.06,77.77
Eastern,2017,10,21,473.75,396.47,63.36,53.33
NorthEastern,2017,10,21,29.16,27.34,17.17,17.32
Northern,2017,10,22,628.36,593.12,157.46,151.8
Western,2017,10,22,"1,128.44","1,049.49",57.11,12.52
Southern,2017,10,22,594.32,512.06,92.06,61.65
Eastern,2017,10,22,469.18,412.41,63.36,54.17
NorthEastern,2017,10,22,29.16,26.81,17.17,22.23
Northern,2017,10,23,628.36,618.21,157.46,149.28
Western,2017,10,23,"1,128.44","1,131.33",57.11,17.87
Southern,2017,10,23,603.99,555.74,92.06,85.78
Eastern,2017,10,23,467.82,431.59,63.36,53.03
NorthEastern,2017,10,23,29.16,28.16,17.17,23.78
Northern,2017,10,24,625.88,643.17,157.46,141.92
Western,2017,10,24,"1,128.44","1,181.98",57.11,17.72
Southern,2017,10,24,603.99,608.18,92.06,72.52
Eastern,2017,10,24,467.82,440.35,63.36,64.65
NorthEastern,2017,10,24,29.16,29.52,17.17,23.06
Northern,2017,10,25,625.88,639.06,157.46,139.43
Western,2017,10,25,"1,127.02","1,198.23",57.11,22.42
Southern,2017,10,25,615.28,607.05,92.06,89.02
Eastern,2017,10,25,467.82,438.69,63.36,58.72
NorthEastern,2017,10,25,29.16,28.70,17.17,22.27
Northern,2017,10,26,625.88,619.47,157.46,138.04
Western,2017,10,26,"1,127.02","1,196.07",57.11,20.57
Southern,2017,10,26,615.28,599.14,92.06,86.3
Eastern,2017,10,26,467.82,439.32,63.36,54.62
NorthEastern,2017,10,26,29.16,28.93,17.17,20.61
Northern,2017,10,27,625.88,623.01,157.46,138.15
Western,2017,10,27,"1,127.02","1,204.84",57.11,22.28
Southern,2017,10,27,615.28,610.91,92.06,77.1
Eastern,2017,10,27,469.90,429.63,63.36,47.09
NorthEastern,2017,10,27,29.16,28.62,17.17,19.41
Northern,2017,10,28,614.95,625.74,157.46,135.12
Western,2017,10,28,"1,127.02","1,209.65",57.11,20.68
Southern,2017,10,28,615.28,604.00,92.06,71.45
Eastern,2017,10,28,469.90,429.20,63.36,42.38
NorthEastern,2017,10,28,29.16,27.32,17.17,19.11
Northern,2017,10,29,614.95,586.92,157.46,132.36
Western,2017,10,29,"1,127.02","1,191.91",57.11,17.71
Southern,2017,10,29,615.28,583.51,92.06,58.36
Eastern,2017,10,29,469.90,422.93,63.36,41.81
NorthEastern,2017,10,29,29.16,28.06,17.17,19.27
Northern,2017,10,30,614.95,582.12,157.46,132.53
Western,2017,10,30,"1,127.02","1,213.04",57.11,16.62
Southern,2017,10,30,615.28,582.53,92.06,63.28
Eastern,2017,10,30,469.90,425.51,63.36,40.32
NorthEastern,2017,10,30,29.16,28.94,17.17,19.26
Northern,2017,10,31,614.95,587.37,157.46,131.11
Western,2017,10,31,"1,127.02","1,229.73",57.11,20.03
Southern,2017,10,31,622.28,570.04,92.06,70.49
Eastern,2017,10,31,469.90,422.94,63.36,41.37
NorthEastern,2017,10,31,29.16,28.60,17.17,19.04
Northern,2017,11,1,596.89,597.39,117.5,130.08
Western,2017,11,1,"1,100.43","1,204.17",45.87,19.18
Southern,2017,11,1,594.88,559.27,72.56,55.19
Eastern,2017,11,1,451.11,430.68,36.75,39.83
NorthEastern,2017,11,1,29.11,32.12,12.92,17.97
Northern,2017,11,2,596.89,610.59,117.5,132.07
Western,2017,11,2,"1,100.43","1,204.19",45.87,22.3
Southern,2017,11,2,594.88,544.18,72.56,72.05
Eastern,2017,11,2,451.11,422.37,36.75,40.95
NorthEastern,2017,11,2,29.11,33.99,12.92,16.71
Northern,2017,11,3,596.89,610.97,117.5,129.47
Western,2017,11,3,"1,101.82","1,194.05",45.87,20.65
Southern,2017,11,3,594.88,535.80,72.56,71.23
Eastern,2017,11,3,451.11,437.55,36.75,40.48
NorthEastern,2017,11,3,29.11,34.66,12.92,15.75
Northern,2017,11,4,596.89,627.31,117.5,125.23
Western,2017,11,4,"1,101.82","1,144.65",45.87,19.4
Southern,2017,11,4,594.88,526.38,72.56,64.01
Eastern,2017,11,4,451.11,437.30,36.75,39.22
NorthEastern,2017,11,4,29.11,32.35,12.92,15.76
Northern,2017,11,5,596.89,587.17,117.5,124.54
Western,2017,11,5,"1,099.82","1,162.74",45.87,15.57
Southern,2017,11,5,599.07,495.74,72.56,38.31
Eastern,2017,11,5,451.11,438.22,36.75,37.3
NorthEastern,2017,11,5,29.11,30.87,12.92,14.99
Northern,2017,11,6,596.89,614.09,117.5,126.7
Western,2017,11,6,"1,099.82","1,221.96",45.87,25.61
Southern,2017,11,6,599.07,480.35,72.56,68.93
Eastern,2017,11,6,451.11,432.52,36.75,40.17
NorthEastern,2017,11,6,29.11,34.79,12.92,15.88
Northern,2017,11,7,596.89,617.60,117.5,125.68
Western,2017,11,7,"1,099.82","1,261.05",45.87,28.39
Southern,2017,11,7,599.07,503.14,72.56,67.16
Eastern,2017,11,7,454.86,424.32,36.75,39.33
NorthEastern,2017,11,7,29.11,29.06,12.92,16.65
Northern,2017,11,8,596.89,639.05,117.5,122.78
Western,2017,11,8,"1,099.82","1,238.80",45.87,29.9
Southern,2017,11,8,608.86,535.91,72.56,51.5
Eastern,2017,11,8,454.86,430.26,36.75,37.18
NorthEastern,2017,11,8,29.11,33.27,12.92,16.57
Northern,2017,11,9,599.39,641.82,117.5,121.18
Western,2017,11,9,"1,099.82","1,230.78",45.87,32.05
Southern,2017,11,9,608.86,575.15,72.56,52.96
Eastern,2017,11,9,454.86,426.79,36.75,35.99
NorthEastern,2017,11,9,29.11,32.80,12.92,14.72
Northern,2017,11,10,596.06,645.07,117.5,118.1
Western,2017,11,10,"1,099.82","1,199.80",45.87,30.66
Southern,2017,11,10,607.08,579.19,72.56,64.16
Eastern,2017,11,10,454.86,406.17,36.75,37.09
NorthEastern,2017,11,10,29.11,32.10,12.92,15.26
Northern,2017,11,11,596.06,605.75,117.5,117.29
Western,2017,11,11,"1,099.82","1,193.72",45.87,25.26
Southern,2017,11,11,607.08,561.02,72.56,63.44
Eastern,2017,11,11,454.86,416.83,36.75,35.11
NorthEastern,2017,11,11,29.11,32.08,12.92,15.83
Northern,2017,11,12,593.56,566.41,117.5,112.02
Western,2017,11,12,"1,099.82","1,167.47",45.87,19.38
Southern,2017,11,12,607.08,547.24,72.56,35.6
Eastern,2017,11,12,454.86,416.21,36.75,34.09
NorthEastern,2017,11,12,29.11,30.10,12.92,15.14
Northern,2017,11,13,582.56,589.98,117.5,113.11
Western,2017,11,13,"1,099.82","1,174.50",45.87,29.17
Southern,2017,11,13,607.08,575.82,72.56,57.2
Eastern,2017,11,13,454.86,420.78,36.75,38.26
NorthEastern,2017,11,13,29.11,28.70,12.92,15.69
Northern,2017,11,14,579.64,608.03,117.5,108.93
Western,2017,11,14,"1,099.82","1,179.94",45.87,29.15
Southern,2017,11,14,611.55,601.88,72.56,67.54
Eastern,2017,11,14,454.86,419.03,36.75,38.7
NorthEastern,2017,11,14,29.11,30.15,12.92,16.16
Northern,2017,11,15,568.00,599.13,117.5,111.28
Western,2017,11,15,"1,098.68","1,172.71",45.87,24.25
Southern,2017,11,15,611.55,599.82,72.56,56.87
Eastern,2017,11,15,475.92,407.92,36.75,37.27
NorthEastern,2017,11,15,29.11,31.16,12.92,15.63
Northern,2017,11,16,574.07,592.14,117.5,110.98
Western,2017,11,16,"1,098.68","1,173.19",45.87,25.5
Southern,2017,11,16,609.54,590.86,72.56,63.02
Eastern,2017,11,16,479.32,402.75,36.75,34.88
NorthEastern,2017,11,16,29.11,31.84,12.92,15.83
Northern,2017,11,17,574.07,598.33,117.5,111.15
Western,2017,11,17,"1,093.30","1,177.58",45.87,18.75
Southern,2017,11,17,609.54,599.42,72.56,67.7
Eastern,2017,11,17,479.32,396.23,36.75,39.57
NorthEastern,2017,11,17,29.11,32.61,12.92,15.64
Northern,2017,11,18,574.07,586.46,117.5,112.45
Western,2017,11,18,"1,095.61","1,176.45",45.87,18.78
Southern,2017,11,18,609.54,595.39,72.56,61.42
Eastern,2017,11,18,474.02,399.44,36.75,36.53
NorthEastern,2017,11,18,29.11,31.69,12.92,15.34
Northern,2017,11,19,574.07,567.48,117.5,115.84
Western,2017,11,19,"1,133.28","1,138.78",45.87,21.81
Southern,2017,11,19,609.54,575.62,72.56,43.54
Eastern,2017,11,19,474.02,408.93,36.75,28.96
NorthEastern,2017,11,19,29.11,32.41,12.92,15.5
Northern,2017,11,20,584.12,585.78,117.5,110.1
Western,2017,11,20,"1,100.91","1,154.10",45.87,21.09
Southern,2017,11,20,598.75,573.96,72.56,55.53
Eastern,2017,11,20,474.02,420.40,36.75,32.16
NorthEastern,2017,11,20,29.11,32.42,12.92,15.28
Northern,2017,11,21,584.12,594.40,117.5,105.64
Western,2017,11,21,"1,100.91","1,174.37",45.87,21.12
Southern,2017,11,21,598.75,583.45,72.56,48.78
Eastern,2017,11,21,473.52,410.35,36.75,30.49
NorthEastern,2017,11,21,29.11,32.62,12.92,14.83
Northern,2017,11,22,581.44,597.21,117.5,104.61
Western,2017,11,22,"1,100.91","1,169.40",45.87,20.34
Southern,2017,11,22,598.75,590.17,72.56,51.21
Eastern,2017,11,22,466.65,420.88,36.75,29.41
NorthEastern,2017,11,22,29.11,28.91,12.92,16.18
Northern,2017,11,23,599.94,604.12,117.5,101.82
Western,2017,11,23,"1,100.91","1,170.22",45.87,18.03
Southern,2017,11,23,598.75,581.31,72.56,52.3
Eastern,2017,11,23,466.65,435.01,36.75,27.27
NorthEastern,2017,11,23,29.11,29.42,12.92,14.8
Northern,2017,11,24,599.94,588.53,117.5,101.16
Western,2017,11,24,"1,100.91","1,183.26",45.87,17.53
Southern,2017,11,24,598.75,601.36,72.56,60.38
Eastern,2017,11,24,466.65,450.88,36.75,26.97
NorthEastern,2017,11,24,29.11,29.45,12.92,15.56
Northern,2017,11,25,599.29,589.85,117.5,102.87
Western,2017,11,25,"1,100.91","1,169.33",45.87,17.92
Southern,2017,11,25,598.75,586.54,72.56,52.11
Eastern,2017,11,25,471.95,433.39,36.75,27.75
NorthEastern,2017,11,25,29.11,29.07,12.92,14.54
Northern,2017,11,26,601.84,568.87,117.5,102.31
Western,2017,11,26,"1,095.47","1,136.79",45.87,13.98
Southern,2017,11,26,598.75,557.00,72.56,39.48
Eastern,2017,11,26,477.75,430.58,36.75,23.19
NorthEastern,2017,11,26,29.11,29.87,12.92,14.56
Northern,2017,11,27,612.19,571.62,117.5,108.48
Western,2017,11,27,"1,103.72","1,175.93",45.87,25.8
Southern,2017,11,27,594.56,561.35,72.56,59.5
Eastern,2017,11,27,482.25,440.76,36.75,31.02
NorthEastern,2017,11,27,29.11,31.88,12.92,14.46
Northern,2017,11,28,614.85,594.04,117.5,104.92
Western,2017,11,28,"1,103.72","1,174.72",45.87,35.41
Southern,2017,11,28,594.56,573.29,72.56,55.69
Eastern,2017,11,28,482.25,444.28,36.75,31.54
NorthEastern,2017,11,28,29.11,30.47,12.92,14.57
Northern,2017,11,29,615.50,592.63,117.5,107.18
Western,2017,11,29,"1,103.72","1,157.82",45.87,36.74
Southern,2017,11,29,594.56,551.64,72.56,45.3
Eastern,2017,11,29,482.25,453.69,36.75,28.83
NorthEastern,2017,11,29,29.11,29.75,12.92,14.15
Northern,2017,11,30,618.83,598.02,117.5,106.8
Western,2017,11,30,"1,103.72","1,159.77",45.87,19.92
Southern,2017,11,30,594.56,501.06,72.56,42.39
Eastern,2017,11,30,482.25,456.64,36.75,27.96
NorthEastern,2017,11,30,29.11,28.22,12.92,14.01
Northern,2017,12,1,607.52,597.34,105.23,105.2
Western,2017,12,1,"1,056.13","1,139.89",42.27,22.09
Southern,2017,12,1,595.72,481.08,69.72,40.72
Eastern,2017,12,1,472.60,445.17,22.6,27.49
NorthEastern,2017,12,1,29.14,27.30,12.11,13.4
Northern,2017,12,2,607.50,602.44,105.23,109.52
Western,2017,12,2,"1,067.74","1,130.34",42.27,20.27
Southern,2017,12,2,605.43,486.72,69.72,48.33
Eastern,2017,12,2,472.60,440.62,22.6,26.14
NorthEastern,2017,12,2,29.14,27.27,12.11,13.71
Northern,2017,12,3,607.50,577.35,105.23,105.76
Western,2017,12,3,"1,067.74","1,106.24",42.27,19.6
Southern,2017,12,3,609.50,460.29,69.72,40.77
Eastern,2017,12,3,470.05,437.17,22.6,22.66
NorthEastern,2017,12,3,29.14,27.26,12.11,13.43
Northern,2017,12,4,620.86,589.21,105.23,107.08
Western,2017,12,4,"1,067.74","1,116.18",42.27,19.57
Southern,2017,12,4,609.50,491.26,69.72,55.65
Eastern,2017,12,4,470.05,438.04,22.6,26.99
NorthEastern,2017,12,4,29.14,32.44,12.11,12.18
Northern,2017,12,5,620.86,570.21,105.23,107.37
Western,2017,12,5,"1,069.81","1,046.71",42.27,20.17
Southern,2017,12,5,597.93,508.78,69.72,54.26
Eastern,2017,12,5,470.05,434.27,22.6,27.45
NorthEastern,2017,12,5,29.14,33.02,12.11,12.73
Northern,2017,12,6,633.15,562.75,105.23,106.81
Western,2017,12,6,"1,070.96","1,075.48",42.27,21.11
Southern,2017,12,6,599.39,530.32,69.72,57.7
Eastern,2017,12,6,474.70,442.18,22.6,23.15
NorthEastern,2017,12,6,29.14,29.40,12.11,12.7
Northern,2017,12,7,633.15,573.74,105.23,105.97
Western,2017,12,7,"1,070.96","1,111.76",42.27,20.05
Southern,2017,12,7,599.39,535.50,69.72,62.09
Eastern,2017,12,7,474.70,442.56,22.6,22.6
